奈德 临 unknown 奈德·斯塔克是临冬城公爵暨北境守卫
艾林 尔 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
艾林 •贝 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
艾林 头 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
艾林 赫伦堡 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
艾林 ， unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
艾林 峡谷 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
尔 •贝 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
尔 头 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
尔 赫伦堡 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
尔 ， unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
尔 峡谷 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
•贝 头 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
•贝 赫伦堡 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
•贝 ， unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
•贝 峡谷 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
头 赫伦堡 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
头 ， unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
头 峡谷 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
赫伦堡 ， unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
赫伦堡 峡谷 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
， 峡谷 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
梅斯•提利 “ unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
梅斯•提利 ，梅斯• unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
梅斯•提利 提利尔 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
梅斯•提利 蓝礼 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
梅斯•提利 玛格 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
“ ，梅斯• unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
“ 提利尔 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
“ 蓝礼 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
“ 玛格 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
，梅斯• 提利尔 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
，梅斯• 蓝礼 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
，梅斯• 玛格 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
提利尔 蓝礼 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
提利尔 玛格 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
蓝礼 玛格 unknown 梅斯•提利尔是“五王之战”开始时，梅斯•提利尔公爵支持蓝礼•拜拉席恩的事业，并将自己的女儿玛格丽许配给他
， 高庭 unknown 蓝礼死后，高庭和兰尼斯特家族结盟，转将玛格丽许配给乔佛里国王
， 兰尼斯特 unknown 蓝礼死后，高庭和兰尼斯特家族结盟，转将玛格丽许配给乔佛里国王
， 结盟 unknown 蓝礼死后，高庭和兰尼斯特家族结盟，转将玛格丽许配给乔佛里国王
， 配 unknown 蓝礼死后，高庭和兰尼斯特家族结盟，转将玛格丽许配给乔佛里国王
高庭 兰尼斯特 unknown 蓝礼死后，高庭和兰尼斯特家族结盟，转将玛格丽许配给乔佛里国王
高庭 结盟 unknown 蓝礼死后，高庭和兰尼斯特家族结盟，转将玛格丽许配给乔佛里国王
高庭 配 unknown 蓝礼死后，高庭和兰尼斯特家族结盟，转将玛格丽许配给乔佛里国王
兰尼斯特 结盟 unknown 蓝礼死后，高庭和兰尼斯特家族结盟，转将玛格丽许配给乔佛里国王
兰尼斯特 配 unknown 蓝礼死后，高庭和兰尼斯特家族结盟，转将玛格丽许配给乔佛里国王
结盟 配 unknown 蓝礼死后，高庭和兰尼斯特家族结盟，转将玛格丽许配给乔佛里国王
奥柏伦 马泰 unknown 奥柏伦·马泰尔是外号“红毒蛇”，性子激烈，私生活放荡，机敏而又毒舌
奥柏伦 外号 unknown 奥柏伦·马泰尔是外号“红毒蛇”，性子激烈，私生活放荡，机敏而又毒舌
马泰 外号 unknown 奥柏伦·马泰尔是外号“红毒蛇”，性子激烈，私生活放荡，机敏而又毒舌
